# 846 карточек игроков, заведённых 03.09.2026 сборщиком составов
# (docs/clubs_squads_wikidata.py --create-cards). В проде они лежат
# с active = false: голые, без фото, страны, описания и славы.
#
# ⚠️ QID ХРАНИТСЯ ЗДЕСЬ, ПОТОМУ ЧТО В cards ЕГО КОЛОНКИ НЕТ. Без него
# просмотры этим карточкам придётся искать резолвом по имени, а он
# промахивается молча: замер на первых четырёх карточках очереди —
# «Гарри Невилл», «Хын Мин Сон», «Расмус Хёйлунн», «Скотт МакТоминэй»
# — 4 из 4 не найдены. Отсюда и файл: угадывать нечего, имя ВЗЯТО
# из Викиданных, и вот сущность, откуда оно взято.
#
# card_id	name_ru	name_en	qid
d7b38c87-261a-4ee5-9669-2e7683eac9e1	Маркос Сенеси	Marcos Senesi	Q23413053
22b27978-b259-4b4d-a8b2-84a298428333	Ashley Phillips	Ashley Phillips	Q113547044
2f7a78ba-10be-470c-ad7a-a99cb25b21c9	Антонин Кинский	Antonín Kinský	Q124647398
e47bf0e2-c421-41e1-bfb5-22343d7e87fb	Drew Spence	Drew Spence	Q21519848
2d586599-f87f-4bec-92cd-8793552f2aae	Онест Аанор	Honest Ahanor	Q129796620
e106e205-dbf8-4d32-a156-d3b48b5ca4a0	Оскар Мингеса	Óscar Mingueza	Q102292155
ab6c4a96-06aa-4adb-81b4-4dac841ddc80	Анан Халили	Anan Khalaili	Q118206666
881fbdd3-0836-483f-886a-e2d5d9ea4966	Квинтен Тимбер	Quinten Timber	Q53996595
0d4068fb-7549-45a9-a63c-e0723811da6e	Гонсало Лухан	Gonzalo Luján	Q109937760
1d0ea0d6-5a81-4ab4-a196-fd142076960a	Рокко Риос Ново	Rocco Ríos Novo	Q83753402
0de1c4ba-e828-493b-8513-b2479e4c1d87	Исраэль Боутрайт	Israel Boatwright	Q119985116
497c6037-ff8d-4c1c-aaad-a39d055474b4	Бенхамин Кремаски	Benjamin Cremaschi	Q116980096
c70aa9d4-5cf3-4297-86fd-cf33c6ccab69	Дейн Сент-Клэр	Dayne St. Clair	Q60583915
c49159ae-e8a3-43f9-99d3-bd300bc63d23	Сеад Колашинац	Sead Kolašinac	Q127914
0c57ab74-ca9f-4208-a596-fb3e042d5bdd	Джонатан Роу	Jonathan Rowe	Q110320890
95366cc2-15cd-466d-91af-7c5206e1d856	Мустафа Сиссе	Moustapha Cissé	Q111311250
604995b0-acd2-4612-adcf-af27da1e7be5	Митчел Баккер	Mitchel Bakker	Q47015496
59543adc-210d-43c3-9713-fa719f953bc1	Arda Öztürk	Arda Öztürk	Q136089826
d5ba352c-aebb-40f2-91b3-7fd0bc45c4f1	Арсений Батагов	Arseniy Batahov	Q74681891
